timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-07-10,7.1490,7.1490,6.9500,6.9500,6.9500,9417,0.0000
2018-07-06,7.1000,7.3485,7.0000,7.1000,7.1000,13444,0.0000
2018-06-29,7.5500,7.5500,7.0000,7.1000,7.1000,38029,0.0000
2018-06-22,7.8000,7.8000,7.3000,7.3500,7.3500,12164,0.0000
2018-06-15,7.9500,7.9500,7.5500,7.6000,7.6000,26999,0.0000
2018-06-08,7.9500,7.9500,7.5500,7.9000,7.9000,62016,0.0000
2018-06-01,7.5000,7.9500,7.5000,7.9500,7.9500,67370,0.0000
2018-05-25,7.6000,7.9000,7.2501,7.6500,7.6500,141281,0.0000
2018-05-18,8.2500,8.2500,7.1000,7.6000,7.6000,72209,0.0000
2018-05-11,6.7838,7.3000,6.6800,7.2000,7.2000,37619,0.0000
2018-05-04,6.8450,6.9500,6.6500,6.7500,6.7500,11570,0.0000
2018-04-27,6.8500,6.9500,6.6500,6.8450,6.8450,7700,0.0000
2018-04-20,6.8000,6.8500,6.6000,6.8099,6.8099,8255,0.0000
2018-04-13,6.9000,7.1000,6.6000,6.8000,6.8000,31732,0.0000
2018-04-06,6.6000,7.3042,6.6000,6.8500,6.8500,25414,0.0000
2018-03-29,7.0100,7.2500,6.6000,7.1500,7.1500,14509,0.0000
2018-03-23,6.7838,7.3000,6.7838,7.1500,7.1500,17843,0.0000
2018-03-16,6.9500,7.3000,6.8000,7.2500,7.2500,36496,0.0000
2018-03-09,6.8500,7.0500,6.6600,6.8500,6.8500,9536,0.0000
2018-03-02,6.8000,6.8500,6.6000,6.7500,6.7500,18871,0.0000
2018-02-23,7.1000,7.1000,6.5999,6.6500,6.6500,26996,0.0000
2018-02-16,7.0500,7.1500,6.9000,7.1000,7.1000,20355,0.0000
2018-02-09,6.7000,7.2500,6.6000,7.0000,7.0000,45767,0.0000
2018-02-02,6.9500,7.0450,6.5511,6.7500,6.7500,25857,0.0000
2018-01-26,7.0500,7.0500,6.6443,7.0500,7.0500,15378,0.0000
2018-01-19,7.1500,7.1515,6.7802,6.9500,6.9500,26100,0.0000
2018-01-12,7.2541,7.2999,6.8912,7.0500,7.0500,42972,0.0000
2018-01-05,7.2000,7.4500,7.1000,7.2085,7.2085,11598,0.0000
2017-12-29,7.2500,7.3000,7.0759,7.2499,7.2499,9354,0.0000
2017-12-22,7.2500,7.3498,7.0140,7.3000,7.3000,15216,0.0000
2017-12-15,7.3000,7.4500,6.8500,7.2000,7.2000,42237,0.0000
2017-12-08,7.3500,7.4500,7.1100,7.3000,7.3000,16023,0.0000
2017-12-01,7.2000,7.5500,7.1452,7.3500,7.3500,21482,0.0000
2017-11-24,7.4500,7.7500,7.0000,7.2500,7.2500,79147,0.0000
2017-11-17,7.0610,7.4000,6.9500,7.4000,7.4000,106442,0.0000
2017-11-10,7.1000,7.1500,6.9500,7.0000,7.0000,26564,0.0000
2017-11-03,7.1500,7.2360,7.0000,7.1750,7.1750,19261,0.0000
2017-10-27,7.3500,7.3700,7.0360,7.1190,7.1190,16322,0.0000
2017-10-20,7.3000,7.6500,7.3000,7.4650,7.4650,16719,0.0000
2017-10-13,7.7000,7.7000,7.3150,7.3510,7.3510,13202,0.0000
2017-10-06,7.7500,7.7500,7.6370,7.7000,7.7000,15278,0.0000
2017-09-29,7.6650,8.0000,7.4730,7.6980,7.6980,19405,0.0000
2017-09-22,7.9490,8.0160,7.4500,7.7500,7.7500,14979,0.0000
2017-09-15,7.3500,8.1500,7.3222,8.0500,8.0500,33460,0.0000
2017-09-08,7.6000,7.6000,7.1220,7.3890,7.3890,33481,0.0000
2017-09-01,7.9500,7.9510,7.4500,7.6000,7.6000,26749,0.0000
2017-08-25,8.2500,8.2500,7.9000,8.0000,8.0000,82354,0.0000
2017-08-18,7.0500,8.2000,7.0500,8.2000,8.2000,159759,0.0000
2017-08-11,7.3000,7.3000,6.8500,7.1000,7.1000,18125,0.0000
2017-08-04,7.6820,7.7000,7.3000,7.3110,7.3110,8023,0.0000
2017-07-28,7.9000,7.9000,7.4000,7.7000,7.7000,42776,0.0000
2017-07-21,7.5390,8.0000,7.5390,7.8500,7.8500,38278,0.0000
2017-07-14,7.8500,7.9500,7.5950,7.8000,7.8000,36483,0.0000
2017-07-07,8.0000,8.0000,7.8000,7.8250,7.8250,9329,0.0000
2017-06-30,8.3000,8.3000,7.7000,7.9750,7.9750,187842,0.0000
2017-06-23,8.4500,8.4500,8.2000,8.4000,8.4000,41874,0.0000
2017-06-16,7.9500,8.5000,7.9500,8.3630,8.3630,101358,0.0000
2017-06-09,7.8000,8.0500,7.6500,7.8500,7.8500,121906,0.0000
2017-06-02,7.3070,7.8000,7.2000,7.8000,7.8000,34491,0.0000
2017-05-26,7.4500,7.7000,7.3380,7.4600,7.4600,30389,0.0000
2017-05-19,7.4000,8.2000,7.0510,7.4260,7.4260,141529,0.0000
2017-05-12,7.1600,7.3500,6.9500,7.3500,7.3500,64201,0.0000
2017-05-05,7.3870,7.6500,7.0500,7.1000,7.1000,59152,0.0000
2017-04-28,7.4380,7.6500,7.3000,7.3000,7.3000,118738,0.0000
2017-04-21,7.6500,7.7000,7.3500,7.5000,7.5000,31764,0.0000
2017-04-13,7.7000,7.8760,7.4000,7.5500,7.5500,27840,0.0000
2017-04-07,8.0730,8.1500,7.6000,7.6950,7.6950,92198,0.0000
2017-03-31,7.7000,9.0000,7.4500,8.1000,8.1000,214591,0.0000
2017-03-24,7.8250,7.9500,7.3000,7.7500,7.7500,164152,0.0000
2017-03-17,7.1000,7.7500,7.1000,7.7500,7.7500,119001,0.0000
2017-03-10,7.3000,7.3500,6.9500,7.1000,7.1000,125378,0.0000
2017-03-03,7.3500,7.5500,7.0500,7.2000,7.2000,81788,0.0000
2017-02-24,7.0500,7.9000,6.9500,7.2500,7.2500,100885,0.0000
2017-02-17,6.6550,7.2010,6.6500,7.0500,7.0500,20240,0.0000
2017-02-10,6.5500,6.6900,6.5000,6.6500,6.6500,18208,0.0000
2017-02-03,6.8501,6.8750,6.5000,6.5000,6.5000,47158,0.0000
2017-01-27,7.1000,7.1500,6.8500,6.8926,6.8926,13875,0.0000
2017-01-20,7.2500,7.4000,7.0000,7.0500,7.0500,35130,0.0000
2017-01-13,7.0500,7.4600,7.0000,7.2216,7.2216,27781,0.0000
2017-01-06,7.2000,7.4500,6.8000,7.2882,7.2882,26245,0.0000
2016-12-30,7.6500,7.8000,7.1000,7.8000,7.8000,10617,0.0000
2016-12-23,7.5500,7.7500,7.4000,7.6500,7.6500,6061,0.0000
2016-12-16,7.5500,7.9000,7.4000,7.7000,7.7000,44325,0.0000
2016-12-09,7.4500,7.7500,7.2223,7.6500,7.6500,94243,0.0000
2016-12-02,7.5137,7.7500,7.0000,7.4500,7.4500,104552,0.0000
2016-11-25,6.9580,7.7500,6.9580,7.7500,7.7500,46189,0.0000
2016-11-18,7.1500,7.5500,6.8335,7.3500,7.3500,132672,0.0000
2016-11-11,7.3000,7.3000,7.1500,7.2882,7.2882,7211,0.0000
2016-11-04,7.3500,7.6000,7.2500,7.2999,7.2999,18252,0.0000
2016-10-28,7.4400,7.7643,7.4000,7.6000,7.6000,15169,0.0000
2016-10-21,7.4500,7.8000,7.3500,7.3500,7.3500,17252,0.0000
2016-10-14,7.9000,7.9000,6.8000,7.5500,7.5500,33729,0.0000
2016-10-07,6.3000,7.8600,6.2900,7.8500,7.8500,209194,0.0000
2016-09-30,5.9600,6.5400,5.9178,6.2438,6.2438,147115,0.0000
2016-09-23,6.0500,6.1750,5.9300,6.0079,6.0079,52424,0.0000
2016-09-16,5.9892,6.1700,5.6500,6.0700,6.0700,89560,0.0000
2016-09-09,6.2900,6.3000,5.8800,6.0000,6.0000,73454,0.0000
2016-09-02,6.3100,6.3100,6.1000,6.2800,6.2800,36708,0.0000
2016-08-26,6.3900,6.4061,6.3200,6.3500,6.3500,10319,0.0000
2016-08-19,6.8400,6.9000,6.4200,6.4300,6.4300,49278,0.0000
2016-08-12,6.3500,6.9900,6.3100,6.8299,6.8299,37420,0.0000
2016-08-05,6.4000,6.5446,6.2900,6.3826,6.3826,30784,0.0000
2016-07-29,6.6500,6.6600,6.2800,6.4000,6.4000,24071,0.0000
2016-07-22,6.4890,6.6350,6.3500,6.5203,6.5203,34623,0.0000
2016-07-15,6.3206,6.9399,6.3101,6.5000,6.5000,42327,0.0000
2016-07-08,6.5000,6.6251,6.2700,6.4500,6.4500,70899,0.0000
2016-07-01,6.3100,6.6500,6.3100,6.4101,6.4101,77230,0.0000
2016-06-24,6.8056,6.8920,6.4100,6.6500,6.6500,60941,0.0000
2016-06-17,6.9700,6.9700,6.7600,6.7600,6.7600,62848,0.0000
2016-06-10,6.9604,7.1800,6.9000,6.9800,6.9800,36389,0.0000
2016-06-03,6.9800,7.0500,6.8600,6.9900,6.9900,55692,0.0000
2016-05-27,6.3400,6.9400,6.3000,6.9400,6.9400,63354,0.0000
2016-05-20,6.3950,7.2100,6.0300,6.5200,6.5200,96606,0.0000
2016-05-13,5.7700,6.3900,5.7100,6.2399,6.2399,49230,0.0000
2016-05-06,5.6800,5.9100,5.6800,5.7700,5.7700,16602,0.0000
2016-04-29,5.6200,5.8399,5.6000,5.6000,5.6000,78000,0.0000
2016-04-22,5.9500,5.9800,5.6100,5.6100,5.6100,59586,0.0000
2016-04-15,5.8600,5.9700,5.6100,5.9200,5.9200,66971,0.0000
2016-04-08,5.9400,6.1200,5.8501,5.9500,5.9500,24342,0.0000
2016-04-01,6.1500,6.3010,5.9400,6.0100,6.0100,42566,0.0000
2016-03-24,5.6020,6.2300,5.6020,6.1900,6.1900,106970,0.0000
2016-03-18,5.5500,5.6888,5.3200,5.5600,5.5600,72548,0.0000
2016-03-11,5.6800,5.8600,5.3800,5.5600,5.5600,53304,0.0000
2016-03-04,6.0000,6.0000,5.5600,5.6600,5.6600,75559,0.0000
2016-02-26,6.1400,6.4400,6.1400,6.2700,6.2700,37369,0.0000
2016-02-19,6.1800,6.4500,6.1300,6.1700,6.1700,72535,0.0000
2016-02-12,6.5500,6.6250,6.0771,6.0800,6.0800,65195,0.0000
2016-02-05,6.4500,6.8800,6.4000,6.5560,6.5560,42401,0.0000
2016-01-29,6.9900,6.9994,6.4800,6.4800,6.4800,77502,0.0000
2016-01-22,6.9900,6.9900,6.8700,6.9900,6.9900,49348,0.0000
2016-01-15,6.9251,7.2700,6.8900,6.9300,6.9300,64942,0.0000
2016-01-08,7.5500,7.6400,6.8895,6.9057,6.9057,57035,0.0000
2015-12-31,7.4500,8.0400,7.4000,7.6500,7.6500,79462,0.0000
2015-12-24,7.6100,7.6500,7.2950,7.4500,7.4500,65237,0.0000
2015-12-18,7.6000,7.8500,7.3700,7.8500,7.8500,45098,0.0000
2015-12-11,7.7000,7.7900,7.2100,7.5100,7.5100,69411,0.0000
2015-12-04,7.6401,7.8499,7.6301,7.7800,7.7800,13939,0.0000
2015-11-27,7.8500,7.8500,7.6101,7.8500,7.8500,10360,0.0000
2015-11-20,7.4600,7.8500,7.3600,7.7700,7.7700,50168,0.0000
2015-11-13,7.0000,7.5100,6.8000,7.4600,7.4600,200671,0.0000
2015-11-06,6.9600,7.0500,6.8600,7.0000,7.0000,50838,0.0000
2015-10-30,7.1200,7.1500,6.1900,6.9600,6.9600,43400,0.0000
2015-10-23,7.2190,7.2190,7.1110,7.1500,7.1500,8555,0.0000
2015-10-16,7.1500,7.2400,7.1000,7.2400,7.2400,18059,0.0000
2015-10-09,7.2400,7.2900,7.0616,7.2000,7.2000,10666,0.0000
2015-10-02,7.3000,7.3800,7.1500,7.2600,7.2600,31956,0.0000
2015-09-25,7.3500,7.4500,7.0600,7.2908,7.2908,22017,0.0000
2015-09-18,7.2800,7.5300,7.0500,7.3700,7.3700,26605,0.0000
2015-09-11,7.4300,7.5400,7.1040,7.4200,7.4200,23037,0.0000
2015-09-04,7.2600,7.7400,7.2600,7.5000,7.5000,46559,0.0000
2015-08-28,6.9800,7.7400,6.8500,7.4900,7.4900,72561,0.0000
2015-08-21,7.5500,7.7400,7.0700,7.2000,7.2000,71275,0.0000
2015-08-14,7.8100,7.9400,7.4100,7.6300,7.6300,40394,0.0000
2015-08-07,7.9700,8.0002,7.7200,7.8400,7.8400,80343,0.0000
2015-07-31,7.7601,7.9700,7.6500,7.8800,7.8800,115702,0.0000
2015-07-24,7.9900,8.0800,7.8300,7.8300,7.8300,38522,0.0000
2015-07-17,7.9500,8.0800,7.7500,8.0500,8.0500,236882,0.0000
2015-07-10,8.1300,8.1300,7.6200,7.9200,7.9200,104703,0.0000
2015-07-02,8.2500,8.2901,8.1100,8.1100,8.1100,30271,0.0000
2015-06-26,8.4000,8.4250,8.2100,8.2400,8.2400,36227,0.0000
2015-06-19,7.9300,8.5900,7.8600,8.5800,8.5800,115913,0.0000
2015-06-12,7.9700,8.0000,7.7000,7.8400,7.8400,19076,0.0000
2015-06-05,7.9200,8.3000,7.8500,7.9700,7.9700,108209,0.0000
2015-05-29,7.6300,7.9900,7.3700,7.9500,7.9500,57490,0.0000
2015-05-22,7.5500,7.8600,7.4500,7.6650,7.6650,51788,0.0000
2015-05-15,7.4600,7.6750,7.3200,7.6000,7.6000,93991,0.0000
2015-05-08,7.2710,7.4600,7.1800,7.4600,7.4600,69598,0.0000
2015-05-01,7.4400,7.5060,7.2000,7.2900,7.2900,60246,0.0000
2015-04-24,7.4000,7.6500,7.1800,7.4600,7.4600,143080,0.0000
2015-04-17,7.4900,7.8400,7.2500,7.3899,7.3899,287689,0.0000
2015-04-10,7.5800,7.6900,7.4000,7.4500,7.4500,215761,0.0000
2015-04-02,7.5201,7.6500,7.4600,7.5600,7.5600,128396,0.0000
2015-03-27,7.5500,7.6900,7.5000,7.5500,7.5500,117552,0.0000
2015-03-20,7.6400,7.6700,7.4699,7.5000,7.5000,44916,0.0000
2015-03-13,7.5000,7.5900,7.4300,7.5200,7.5200,33541,0.0000
2015-03-06,7.7301,7.8100,7.4100,7.4900,7.4900,56272,0.0000
2015-02-27,7.7200,7.7660,7.6000,7.7200,7.7200,41779,0.0000
2015-02-20,7.6000,7.7200,7.6000,7.6600,7.6600,26680,0.0000
2015-02-13,7.7000,7.7500,7.6000,7.6400,7.6400,24877,0.0000
2015-02-06,7.7000,7.8500,7.6000,7.7300,7.7300,45579,0.0000
2015-01-30,7.7500,7.7500,7.5700,7.7025,7.7025,27766,0.0000
2015-01-23,7.7700,7.8800,7.6200,7.6500,7.6500,65890,0.0000
2015-01-16,7.6200,7.7800,7.4000,7.7800,7.7800,53054,0.0000
2015-01-09,7.8500,7.9000,7.3700,7.5700,7.5700,152669,0.0000
2015-01-02,7.6490,7.9100,7.4801,7.8500,7.8500,92286,0.0000
2014-12-26,7.5400,7.6500,7.5100,7.5600,7.5600,20326,0.0000
2014-12-19,7.5600,7.5800,7.3000,7.5300,7.5300,106491,0.0000
2014-12-12,7.7600,7.7600,7.2500,7.5400,7.5400,134410,0.0000
2014-12-05,7.8000,7.8500,7.6200,7.7200,7.7200,92982,0.0000
2014-11-28,7.7500,7.8000,7.6710,7.8000,7.8000,29147,0.0000
2014-11-21,7.8000,7.8300,7.7000,7.7500,7.7500,75942,0.0000
2014-11-14,7.7800,7.9200,7.6800,7.8000,7.8000,123959,0.0000
2014-11-07,7.8000,8.0400,7.6101,7.7800,7.7800,94044,0.0000
2014-10-31,7.9000,7.9300,7.6011,7.7800,7.7800,66640,0.0000
2014-10-24,7.9300,8.2300,7.7200,7.9200,7.9200,59386,0.0000
2014-10-17,7.4300,8.1400,7.0700,7.8000,7.8000,149092,0.0000
2014-10-10,7.5000,7.8400,7.3000,7.3600,7.3600,103981,0.0000
2014-10-03,7.7500,8.1100,7.1500,7.4700,7.4700,179344,0.0000
2014-09-26,7.9900,8.0300,7.6600,7.7500,7.7500,253778,0.0000
2014-09-19,8.1200,8.2299,7.8800,7.9900,7.9900,73938,0.0000
2014-09-12,8.3100,8.3400,8.0900,8.0900,8.0900,51619,0.0000
2014-09-05,8.4500,8.4700,8.2500,8.2800,8.2800,73189,0.0000
2014-08-29,8.5000,8.6299,8.3400,8.4500,8.4500,111301,0.0000
2014-08-22,8.5200,8.6835,8.3300,8.4000,8.4000,117341,0.0000
2014-08-15,8.6200,8.7100,8.4800,8.5000,8.5000,117997,0.0000
2014-08-08,8.5000,8.6800,8.4200,8.6800,8.6800,150522,0.0000
2014-08-01,8.6500,8.8000,8.4500,8.4800,8.4800,229034,0.0000
2014-07-25,8.7800,8.9300,8.5300,8.6100,8.6100,119145,0.0000
2014-07-18,8.7100,8.9899,8.6100,8.7500,8.7500,197945,0.0000
2014-07-11,9.0000,9.1000,8.6100,8.7300,8.7300,136188,0.0000
2014-07-03,8.8500,9.1100,8.6600,8.9900,8.9900,127876,0.0000
2014-06-27,8.5500,9.3399,8.3601,8.8000,8.8000,303988,0.0000
2014-06-20,8.6000,8.7500,8.2600,8.2800,8.2800,492202,0.0000
2014-06-13,8.0000,8.7800,7.5700,8.5400,8.5400,1861868,0.0000
2014-06-06,8.8000,8.9400,7.8200,8.0200,8.0200,281756,0.0000
2014-05-30,9.0600,9.0600,8.5300,8.8100,8.8100,137454,0.0000
2014-05-23,9.4900,9.8990,8.5000,8.9900,8.9900,156460,0.0000
2014-05-16,9.2500,9.5000,9.0000,9.3800,9.3800,131556,0.0000
2014-05-09,9.0000,9.3100,8.9500,9.2600,9.2600,126519,0.0000
2014-05-02,8.9900,9.4900,8.9500,9.1000,9.1000,90729,0.0000
2014-04-25,8.9900,9.5000,8.9900,9.0100,9.0100,63559,0.0000
2014-04-17,8.9500,10.1899,8.9500,8.9500,8.9500,97845,0.0000
2014-04-11,8.8000,9.0000,8.5500,8.8900,8.8900,195770,0.0000
